"name ","type","priceRange","cuisine","aggregatedRating","reviewCount","directUrl","website"
,"Restaurants","$11-30","Pizza","3.1","77","https://www.yelp.com/biz/pizza-factory-prather-3","http://pizzafactory.com/locations/prather/"
,"Restaurants","$31-60","Pizza","3.2","68","https://www.yelp.com/biz/pines-village-bakery-pizzeria-bass-lake",""
,"Event Planning & Services","$11-30",,"3.2","59","https://www.yelp.com/biz/white-chief-mountain-lodge-fish-camp","http://whitechiefmountainlodge.com/"
,"Restaurants","$11-30","Mexican","3.6","540","https://www.yelp.com/biz/el-cid-mexican-cuisine-oakhurst-2","http://www.elcidmexicancuisine.com"
,"Restaurants",,"Chicken Shop","3","4","https://www.yelp.com/biz/krispy-krunchy-chicken-prather","https://www.krispykrunchy.com/locations/store-3186"
,"Restaurants","Under $10","Mexican","3.8","115","https://www.yelp.com/biz/mariscos-colima-oakhurst-2",""
,"Restaurants","$11-30","Pizza","3.3","287","https://www.yelp.com/biz/pizza-factory-oakhurst-5","http://www.pizzafactory.com/locations/oakhurst"
,"Automotive",,,"5","1","https://www.yelp.com/biz/chevron-north-fork-north-fork",""
,"Restaurants","$11-30","Sushi Bars","2.9","161","https://www.yelp.com/biz/kyoto-kafe-oakhurst",""
,"Restaurants",,"American","1","1","https://www.yelp.com/biz/off-the-grill-wawona",""
,"Restaurants","Under $10","Sandwiches","3.5","25","https://www.yelp.com/biz/subway-prather-2","https://restaurants.subway.com/united-states/ca/prather/29424-auberry-rd?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=23146&utm_campaign=evergreen-2020"
,"Restaurants","$11-30","Chinese","3.1","183","https://www.yelp.com/biz/taste-of-china-oakhurst","http://tasteofchinaoc.com"
,"Restaurants","$11-30","Pizza","3.9","154","https://www.yelp.com/biz/round-table-pizza-oakhurst","https://ordering.roundtablepizza.com/Site/rtoakhurst"
